Campaign,Campaign status,Campaign type,Networks,Campaign daily budget,Bid strategy type
PI-Urgente-Verona,Enabled,Search,Google search,28.00,Manual CPC
PI-Quartieri-Top8,Enabled,Search,Google search,12.00,Manual CPC
