Campaign;Ad group;Ad group status;Max CPC
PI-Urgente-Verona;AG - Urgente Verona;Enabled;2.80
PI-Quartieri-Top8;AG - Verona Centro;Enabled;2.80
PI-Quartieri-Top8;AG - Borgo Trento;Enabled;2.80
PI-Quartieri-Top8;AG - Borgo Roma;Enabled;2.80
PI-Quartieri-Top8;AG - San Zeno;Enabled;2.80
PI-Quartieri-Top8;AG - Valdonega;Enabled;2.80
PI-Quartieri-Top8;AG - Veronetta;Enabled;2.80
PI-Quartieri-Top8;AG - San Paolo;Enabled;2.80
PI-Quartieri-Top8;AG - Golosine;Enabled;2.80
